"term","df","sumsq","meansq","statistic","p.value","secao","ADU","LIN","LIN_nome","n","media","dp","ep","contrast","null.value","estimate","std.error","teste","estatistica","p_valor"
"REP",2,15753063.0833333,7876531.54166667,2.85252828097777,0.0913802725501078,"anova_fatorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADU",3,7780521.45833332,2593507.15277777,0.939252570891286,0.44793730728026,"anova_fatorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIN",1,671676.041666666,671676.041666666,0.24325109273973,0.629513973640903,"anova_fatorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADU:LIN",3,14463492.125,4821164.04166667,1.74601050009599,0.203558779722479,"anova_fatorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Residuals",14,38657440.25,2761245.73214286,NA,NA,"anova_fatorial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","30","1","Simples",3,5059.33333333333,2102.24935089378,1213.73422864224,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","30","2","Duplas",3,5880,1768.17391678534,1020.85568683009,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","60","1","Simples",3,5333.66666666667,1971.89663353162,1138.4750521836,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","60","2","Duplas",3,7225.33333333333,2503.28790460333,1445.27394558187,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","90","1","Simples",3,4238.66666666667,1133.6094271544,654.489707923492,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"medias_tratamentos","90","2","Duplas",3,5116,1616.39135112757,933.223981689283,NA,NA,NA,NA,NA,NA,NA
